             x=-,0.104, y=0.413, z,=0.960 m (x-r,i        Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
             x=-,0.104, y=0.413, z,=0.960 m (x-r,ight, y-fwd, z-up,)
,,,,,,,,
Body to Sensor R,otations:
,,,,,,,,,,,
             xRo,t=0.000, yRot=90.,000, zRot=180,.000 degrees (Rot,ate IMU into Vehi,cle Frame)
,,,,,,,

,,,,,,,,,,,,
        Latitude,        Longitude,        H-Ell,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
      (+/-D M S),       (+/-D M S),          (m),       (+/-D M S),       (+/-D M S),          (m),         (sec),          (deg),          (deg),          (deg),     (m/s),     (m/s),     (m/s)
  33 18 19.39005,  -97 33 13.87722,     3494.188,   33 18 19.39005,  -97 33 13.87722,     3494.188, 1271009630.00, -15.2429237564,   0.4052816964,   0.3030259187,     1.453,    52.624,     0.125
  33 18 21.09716,  -97 33 13.82117,     3494.327,   33 18 21.09716,  -97 33 13.82117,     3494.327, 1271009631.00, -15.4618337412,   0.4025945243,  -0.1899125908,     1.427,    52.619,     0.154
  33 18 22.80385,  -97 33 13.76827,     3494.453,   33 18 22.80385,  -97 33 13.76827,     3494.453, 1271009632.00, -15.5171127093,   0.3927797573,  -0.4369318850,     1.307,    52.597,     0.086
  33 18 24.51003,  -97 33 13.71934,     3494.522,   33 18 24.51003,  -97 33 13.71934,     3494.522, 1271009633.00, -15.6048153590,   0.3969279717,   0.0388923751,     1.243,    52.598,     0.053
  33 18 26.21636,  -97 33 13.67204,     3494.560,   33 18 26.21636,  -97 33 13.67204,     3494.560, 1271009634.00, -15.7378962660,   0.3666185044,   0.1893339034,     1.206,    52.597,     0.030
  33 18 27.92303,  -97 33 13.62606,     3494.558,   33 18 27.92303,  -97 33 13.62606,     3494.558, 1271009635.00, -15.7183354869,   0.3813492493,   0.3534118272,     1.180,    52.622,    -0.029
  33 18 29.63037,  -97 33 13.58017,     3494.537,   33 18 29.63037,  -97 33 13.58017,     3494.537, 1271009636.00, -15.5791525793,   0.4155777480,   0.6259850391,     1.206,    52.640,    -0.016
  33 18 31.33866,  -97 33 13.53213,     3494.520,   33 18 31.33866,  -97 33 13.53213,     3494.520, 1271009637.00, -15.4484437175,   0.4147183113,   0.8008517581,     1.290,    52.674,    -0.016
  33 18 33.04808,  -97 33 13.48068,     3494.476,   33 18 33.04808,  -97 33 13.48068,     3494.476, 1271009638.00, -15.3622307581,   0.2756328065,   0.4477493282,     1.360,    52.716,    -0.089
  33 18 34.75871,  -97 33 13.42779,     3494.353,   33 18 34.75871,  -97 33 13.42779,     3494.353, 1271009639.00, -15.2945415242,   0.2657149071,  -0.1146889619,     1.361,    52.740,    -0.129
  33 18 36.46994,  -97 33 13.37645,     3494.245,   33 18 36.46994,  -97 33 13.37645,     3494.245, 1271009640.00, -15.4004470430,   0.3759978235,  -0.1992689916,     1.300,    52.753,    -0.080
  33 18 38.18096,  -97 33 13.32757,     3494.214,   33 18 38.18096,  -97 33 13.32757,     3494.214, 1271009641.00, -15.6222390055,   0.3990020790,  -0.1629033603,     1.233,    52.736,     0.010
