  31 09 03.55512,  -97 24 43.89896,      181.503,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
  30 56 59.07468,  -97 41 02.11100,     2816.627,   30 56 59.07468,  -97 41 02.11100,     2816.627, 1266458017.00, -125.310528353,   1.2858891796,   0.0984456084,   -38.723,   -34.395,     0.131
  30 56 57.95495,  -97 41 03.56676,     2816.788,   30 56 57.95495,  -97 41 03.56676,     2816.788, 1266458018.00, -125.503907338,   1.4813594610,  -0.2072044570,   -38.584,   -34.597,     0.230
  30 56 56.82834,  -97 41 05.01644,     2817.095,   30 56 56.82834,  -97 41 05.01644,     2817.095, 1266458019.00, -125.809425623,   1.6119021650,  -0.2652164338,   -38.404,   -34.819,     0.383
  30 56 55.69465,  -97 41 06.45869,     2817.532,   30 56 55.69465,  -97 41 06.45869,     2817.532, 1266458020.00, -126.102774285,   1.7077293563,  -0.2445211982,   -38.197,   -35.029,     0.475
  30 56 54.55423,  -97 41 07.89294,     2818.031,   30 56 54.55423,  -97 41 07.89294,     2818.031, 1266458021.00, -126.393389938,   1.8388793956,  -0.3163586466,   -37.971,   -35.239,     0.536
  30 56 53.40703,  -97 41 09.31824,     2818.595,   30 56 53.40703,  -97 41 09.31824,     2818.595, 1266458022.00, -126.573092421,   1.9469678836,  -0.2781996574,   -37.730,   -35.437,     0.595
  30 56 52.25403,  -97 41 10.73458,     2819.219,   30 56 52.25403,  -97 41 10.73458,     2819.219, 1266458023.00, -126.917302546,   2.0375926181,  -0.2348668594,   -37.485,   -35.613,     0.669
  30 56 51.09515,  -97 41 12.14133,     2819.925,   30 56 51.09515,  -97 41 12.14133,     2819.925, 1266458024.00, -127.236514522,   2.0495502473,  -0.1899870753,   -37.221,   -35.794,     0.740
  30 56 49.93083,  -97 41 13.53861,     2820.687,   30 56 49.93083,  -97 41 13.53861,     2820.687, 1266458025.00, -127.573310573,   2.0830396304,   0.1525156355,   -36.987,   -35.943,     0.782
  30 56 48.76206,  -97 41 14.92716,     2821.485,   30 56 48.76206,  -97 41 14.92716,     2821.485, 1266458026.00, -127.724319330,   2.0618000849,   0.3820425282,   -36.766,   -36.066,     0.811
  30 56 47.59014,  -97 41 16.30831,     2822.278,   30 56 47.59014,  -97 41 16.30831,     2822.278, 1266458027.00, -127.781666675,   1.9659557050,   1.4519552670,   -36.618,   -36.107,     0.767
  30 56 46.41848,  -97 41 17.68601,     2822.910,   30 56 46.41848,  -97 41 17.68601,     2822.910, 1266458028.00, -127.732197499,   1.5911553633,   1.2402874687,   -36.556,   -36.102,     0.471
  30 56 45.24608,  -97 41 19.06192,     2823.203,   30 56 45.24608,  -97 41 19.06192,     2823.203, 1266458029.00, -127.348596526,   1.2215460192,   0.0178705536,   -36.519,   -36.156,     0.114
  30 56 44.06934,  -97 41 20.43555,     2823.160,   30 56 44.06934,  -97 41 20.43555,     2823.160, 1266458030.00, -127.456117786,   1.0230963573,  -0.9059035699,   -36.429,   -36.369,    -0.168
  30 56 42.88348,  -97 41 21.80453,     2822.912,   30 56 42.88348,  -97 41 21.80453,     2822.912, 1266458031.00, -127.980792428,   0.8750956292,  -1.2823196525,   -36.270,   -36.718,    -0.327
  30 56 41.68525,  -97 41 23.16707,     2822.517,   30 56 41.68525,  -97 41 23.16707,     2822.517, 1266458032.00, -128.425298815,   0.7890774755,  -0.8153819678,   -36.107,   -37.102,    -0.446
  30 56 40.47539,  -97 41 24.52449,     2822.043,   30 56 40.47539,  -97 41 24.52449,     2822.043, 1266458033.00, -128.632411598,   0.7321369298,  -0.4268134503,   -35.998,   -37.432,    -0.497
  30 56 39.25578,  -97 41 25.87874,     2821.506,   30 56 39.25578,  -97 41 25.87874,     2821.506, 1266458034.00, -128.879379326,   0.7040448091,  -0.2571778359,   -35.929,   -37.716,    -0.564
  30 56 38.02703,  -97 41 27.23046,     2820.927,   30 56 38.02703,  -97 41 27.23046,     2820.927, 1266458035.00, -129.001814678,   0.7085883644,  -0.2356861890,   -35.870,   -37.988,    -0.588
  30 56 36.78986,  -97 41 28.58022,     2820.343,   30 56 36.78986,  -97 41 28.58022,     2820.343, 1266458036.00, -129.188077527,   0.7137564437,  -0.1918892952,   -35.821,   -38.238,    -0.577
  30 56 35.54458,  -97 41 29.92820,     2819.788,   30 56 35.54458,  -97 41 29.92820,     2819.788, 1266458037.00, -129.455402446,   0.7363080625,  -0.1706268314,   -35.775,   -38.484,    -0.528
  30 56 34.29097,  -97 41 31.27354,     2819.303,   30 56 34.29097,  -97 41 31.27354,     2819.303, 1266458038.00, -129.621709175,   0.8071256460,  -0.2289825828,   -35.682,   -38.751,    -0.437
  30 56 33.02924,  -97 41 32.61585,     2818.873,   30 56 33.02924,  -97 41 32.61585,     2818.873, 1266458039.00, -129.797074368,   0.7856454583,  -0.0839956128,   -35.611,   -38.991,    -0.434
  30 56 31.76026,  -97 41 33.95564,     2818.438,   30 56 31.76026,  -97 41 33.95564,     2818.438, 1266458040.00, -129.944616729,   0.8447976210,   0.0490910239,   -35.548,   -39.195,    -0.428
  30 56 30.48504,  -97 41 35.29324,     2818.034,   30 56 30.48504,  -97 41 35.29324,     2818.034, 1266458041.00, -130.139949501,   0.8944501436,   0.1636539350,   -35.495,   -39.379,    -0.371
  30 56 29.20402,  -97 41 36.62879,     2817.689,   30 56 29.20402,  -97 41 36.62879,     2817.689, 1266458042.00, -130.339991986,   0.9459189423,   0.2694162144,   -35.440,   -39.550,    -0.306
  30 56 27.91769,  -97 41 37.96222,     2817.393,   30 56 27.91769,  -97 41 37.96222,     2817.393, 1266458043.00, -130.514898812,   0.4852264975,   0.2101838376,   -35.382,   -39.718,    -0.398
  30 56 26.62495,  -97 41 39.29448,     2816.742,   30 56 26.62495,  -97 41 39.29448,     2816.742, 1266458044.00, -130.677498504,   0.2639903041,  -0.0145130210,   -35.371,   -39.954,    -0.808
  30 56 25.32399,  -97 41 40.62598,     2815.877,   30 56 25.32399,  -97 41 40.62598,     2815.877, 1266458045.00, -130.803199715,  -0.0026814425,  -0.2359325609,   -35.342,   -40.228,    -0.960
  30 56 24.01359,  -97 41 41.95715,     2814.778,   30 56 24.01359,  -97 41 41.95715,     2814.778, 1266458046.00, -131.067018132,  -0.1990913747,   0.0982508027,   -35.362,   -40.518,    -1.217
  30 56 22.69400,  -97 41 43.28942,     2813.537,   30 56 22.69400,  -97 41 43.28942,     2813.537, 1266458047.00, -131.281057975,  -0.2645174253,   0.0470455646,   -35.388,   -40.810,    -1.262
  30 56 21.36484,  -97 41 44.62279,     2812.188,   30 56 21.36484,  -97 41 44.62279,     2812.188, 1266458048.00, -131.270452527,  -0.4596611207,   0.2059496795,   -35.442,   -41.096,    -1.447
  30 56 20.02724,  -97 41 45.95935,     2810.705,   30 56 20.02724,  -97 41 45.95935,     2810.705, 1266458049.00, -131.520233477,  -0.4338551016,   0.6854179512,   -35.540,   -41.336,    -1.471
  30 56 18.68229,  -97 41 47.29981,     2809.248,   30 56 18.68229,  -97 41 47.29981,     2809.248, 1266458050.00, -131.622059537,  -0.3653350789,   1.0802431678,   -35.658,   -41.539,    -1.436
  30 56 17.33204,  -97 41 48.64541,     2807.876,   30 56 17.33204,  -97 41 48.64541,     2807.876, 1266458051.00, -131.595096143,  -0.3482437479,   1.5585196873,   -35.819,   -41.657,    -1.320
